Date,Open,High,Low,Close,Volume
2014-01-01,2621.60,2633.95,2596.00,2608.05,307223
2014-01-02,2604.70,2668.75,2601.00,2613.30,664020
2014-01-03,2619.90,2709.00,2608.00,2699.65,722702
2014-01-06,2710.00,2755.00,2706.75,2725.80,528027
2014-01-07,2727.90,2739.95,2666.00,2712.05,462393
2014-01-08,2726.00,2730.65,2687.50,2706.15,455409
2014-01-09,2719.00,2723.90,2681.10,2707.60,326741
2014-01-10,2719.00,2815.00,2692.10,2787.90,786768
2014-01-13,2790.00,2797.80,2722.10,2759.60,505916
2014-01-14,2759.00,2784.70,2731.00,2764.15,485926
2014-01-15,2777.50,2784.90,2735.00,2752.05,494314
2014-01-16,2754.00,2771.60,2693.60,2702.70,344306
2014-01-17,2712.90,2717.00,2640.00,2663.40,378527
2014-01-20,2671.00,2721.45,2625.00,2704.10,567637
2014-01-21,2711.05,2741.65,2679.60,2716.80,440481
2014-01-22,2718.85,2774.00,2696.50,2757.45,441689
2014-01-23,2756.00,2781.00,2727.70,2757.30,388469
2014-01-24,2754.90,2760.00,2678.65,2695.65,450839
2014-01-27,2670.00,2684.55,2610.05,2620.15,425369
2014-01-28,2619.90,2660.50,2591.05,2604.55,375418
2014-01-29,2610.00,2664.00,2605.60,2621.50,374738
2014-01-30,2600.00,2600.00,2415.00,2442.10,2583177
2014-01-31,2458.00,2557.55,2445.00,2473.35,1711773
2014-02-03,2541.10,2578.80,2515.00,2551.60,1510911
2014-02-04,2539.00,2539.00,2485.10,2499.05,1040411
2014-02-05,2501.00,2518.00,2475.00,2504.60,577101
2014-02-06,2515.00,2535.00,2480.00,2489.40,626151
2014-02-07,2496.00,2519.90,2465.00,2473.25,374657
2014-02-10,2481.00,2529.90,2451.10,2462.30,687146
2014-02-11,2456.00,2472.00,2401.00,2410.95,659056
2014-02-12,2425.00,2430.85,2351.10,2363.00,916127
2014-02-13,2375.10,2403.10,2353.60,2364.15,429014
2014-02-14,2365.00,2388.00,2252.60,2334.90,1110077
2014-02-17,2340.05,2355.70,2280.10,2314.45,467638
2014-02-18,2315.00,2381.90,2315.00,2368.30,575503
2014-02-19,2366.15,2389.30,2328.35,2353.70,429490
2014-02-20,2335.00,2374.00,2335.00,2364.30,537172
2014-02-21,2375.00,2387.90,2353.10,2372.15,304368
2014-02-24,2373.00,2410.95,2361.90,2399.00,438803
2014-02-25,2411.00,2428.40,2380.40,2392.55,363665
2014-02-26,2390.00,2404.50,2343.00,2364.00,792052
2014-02-28,2399.00,2414.90,2356.80,2387.25,575049
2014-03-03,2392.00,2408.80,2362.30,2372.95,296793
2014-03-04,2372.00,2389.90,2364.50,2372.70,306799
2014-03-05,2410.00,2445.90,2386.00,2439.80,508384
2014-03-06,2450.20,2467.90,2424.65,2441.65,471759
2014-03-07,2449.00,2489.35,2416.00,2471.80,341995
2014-03-10,2467.00,2498.80,2438.40,2466.60,474145
2014-03-11,2474.95,2492.00,2455.00,2467.70,333783
2014-03-12,2461.00,2478.00,2445.25,2469.20,256091
2014-03-13,2470.50,2525.00,2465.65,2495.30,539029
2014-03-14,2498.00,2515.00,2450.60,2466.80,492767
2014-03-18,2478.40,2503.00,2465.30,2486.05,223466
2014-03-19,2492.00,2573.00,2492.00,2557.80,470639
2014-03-20,2574.00,2644.00,2560.00,2619.60,556263
2014-03-21,2650.00,2684.40,2613.20,2648.40,721961
2014-03-24,2718.20,2730.95,2592.60,2601.10,743302
2014-03-25,2612.00,2662.85,2595.75,2651.75,514625
2014-03-26,2658.50,2669.90,2577.50,2600.35,1075796
2014-03-27,2609.00,2679.50,2590.00,2655.85,1224462
2014-03-28,2680.00,2680.00,2625.55,2659.55,519140
2014-03-31,2677.90,2677.90,2630.00,2647.45,672243
2014-04-01,2647.65,2699.00,2638.15,2673.85,581362
2014-04-02,2688.00,2712.10,2655.00,2699.70,336113
2014-04-03,2704.80,2712.00,2661.00,2687.60,280377
2014-04-04,2679.90,2696.00,2635.00,2644.15,322015
2014-04-07,2654.90,2664.90,2602.40,2615.00,343229
2014-04-09,2627.80,2640.00,2584.00,2597.75,485667
2014-04-10,2608.70,2638.00,2575.00,2585.90,598952
2014-04-11,2590.00,2599.80,2533.20,2557.25,896438
2014-04-15,2812.95,2940.80,2812.95,2853.95,2156038
2014-04-16,2877.00,2880.00,2855.00,2871.80,780384
