"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2015","EQ","2,780.00","2,828.35","2,755.00","2,783.65","2,827.00","2,818.30","2,798.11","2,945.00","2,225.00","90,388","25,29,15,525.60","6,057"
"31-Dec-2014","EQ","2,771.00","2,792.00","2,745.00","2,771.15","2,780.00","2,783.65","2,772.55","2,945.00","2,225.00","78,006","21,62,75,697.70","5,240"
"30-Dec-2014","EQ","2,780.05","2,785.00","2,751.00","2,769.50","2,773.00","2,771.15","2,768.86","2,945.00","2,225.00","64,260","17,79,26,895.75","6,164"
"29-Dec-2014","EQ","2,750.00","2,809.60","2,731.00","2,726.30","2,757.00","2,769.50","2,787.47","2,945.00","2,225.00","3,09,151","86,17,48,778.55","16,773"
"26-Dec-2014","EQ","2,727.00","2,759.95","2,713.65","2,722.15","2,725.95","2,726.30","2,734.32","2,945.00","2,225.00","81,540","22,29,56,265.55","7,037"
"24-Dec-2014","EQ","2,785.00","2,785.00","2,702.50","2,779.55","2,720.00","2,722.15","2,727.01","2,945.00","2,225.00","2,02,391","55,19,22,241.65","19,111"
"23-Dec-2014","EQ","2,775.00","2,786.00","2,761.00","2,771.40","2,773.90","2,779.55","2,778.43","2,945.00","2,225.00","1,17,913","32,76,13,165.80","9,814"
"22-Dec-2014","EQ","2,785.90","2,795.80","2,750.05","2,768.80","2,768.95","2,771.40","2,769.84","2,945.00","2,225.00","80,929","22,41,60,627.80","7,220"
"19-Dec-2014","EQ","2,775.10","2,799.50","2,730.00","2,758.95","2,750.00","2,768.80","2,757.01","2,945.00","2,225.00","3,06,009","84,36,70,337.05","8,910"
"18-Dec-2014","EQ","2,741.00","2,794.00","2,741.00","2,708.45","2,755.80","2,758.95","2,763.39","2,945.00","2,225.00","1,23,824","34,21,73,698.25","9,752"
"17-Dec-2014","EQ","2,778.00","2,815.00","2,700.00","2,761.85","2,712.05","2,708.45","2,747.73","2,945.00","2,225.00","1,67,297","45,96,87,307.60","11,341"
"16-Dec-2014","EQ","2,840.00","2,850.00","2,750.10","2,850.20","2,775.00","2,761.85","2,819.63","2,945.00","2,225.00","4,07,037","1,14,76,92,886.15","13,347"
"15-Dec-2014","EQ","2,820.00","2,891.95","2,818.10","2,846.55","2,853.10","2,850.20","2,851.01","2,945.00","2,225.00","2,38,383","67,96,32,777.80","15,392"
"12-Dec-2014","EQ","2,734.00","2,930.00","2,734.00","2,752.75","2,840.00","2,846.55","2,865.05","2,945.00","2,225.00","4,38,171","1,25,53,82,888.05","32,064"
